"batchId ,",43.0,",overall_accuracy, ",74.36279069767441,",step_accuracy, ",75.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",44.0,",overall_accuracy, ",74.39090909090909,",step_accuracy, ",75.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",45.0,",overall_accuracy, ",74.36444444444444,",step_accuracy, ",73.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",46.0,",overall_accuracy, ",74.38260869565218,",step_accuracy, ",75.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",47.0,",overall_accuracy, ",74.35744680851064,",step_accuracy, ",73.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",48.0,",overall_accuracy, ",74.40416666666667,",step_accuracy, ",76.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",49.0,",overall_accuracy, ",74.46122448979592,",step_accuracy, ",77.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",50.0,",overall_accuracy, ",74.388,",step_accuracy, ",70.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",51.0,",overall_accuracy, ",74.28235294117647,",step_accuracy, ",69.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",52.0,",overall_accuracy, ",74.27307692307691,",step_accuracy, ",73.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",53.0,",overall_accuracy, ",74.24150943396226,",step_accuracy, ",72.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",54.0,",overall_accuracy, ",74.22592592592594,",step_accuracy, ",73.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",55.0,",overall_accuracy, ",74.28,",step_accuracy, ",77.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",56.0,",overall_accuracy, ",74.3,",step_accuracy, ",75.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",57.0,",overall_accuracy, ",74.25964912280702,",step_accuracy, ",72.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",58.0,",overall_accuracy, ",74.28275862068966,",step_accuracy, ",75.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",59.0,",overall_accuracy, ",74.32881355932204,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",60.0,",overall_accuracy, ",74.31333333333333,",step_accuracy, ",73.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",61.0,",overall_accuracy, ",74.327868852459,",step_accuracy, ",75.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",62.0,",overall_accuracy, ",74.3225806451613,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",63.0,",overall_accuracy, ",74.35555555555555,",step_accuracy, ",76.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",64.0,",overall_accuracy, ",74.378125,",step_accuracy, ",75.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",65.0,",overall_accuracy, ",74.33846153846154,",step_accuracy, ",71.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",66.0,",overall_accuracy, ",74.33030303030304,",step_accuracy, ",73.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",67.0,",overall_accuracy, ",74.32537313432836,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",68.0,",overall_accuracy, ",74.39117647058823,",step_accuracy, ",78.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",69.0,",overall_accuracy, ",74.39130434782608,",step_accuracy, ",74.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",70.0,",overall_accuracy, ",74.39714285714287,",step_accuracy, ",74.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",71.0,",overall_accuracy, ",74.42535211267605,",step_accuracy, ",76.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",72.0,",overall_accuracy, ",74.41666666666666,",step_accuracy, ",73.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",73.0,",overall_accuracy, ",74.42465753424658,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",74.0,",overall_accuracy, ",74.41081081081082,",step_accuracy, ",73.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
