"batchId ,",32.0,",overall_accuracy, ",76.46875,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",33.0,",overall_accuracy, ",76.46969696969697,",step_accuracy, ",76.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",34.0,",overall_accuracy, ",76.5,",step_accuracy, ",77.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",35.0,",overall_accuracy, ",76.4,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",36.0,",overall_accuracy, ",76.29166666666667,",step_accuracy, ",72.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",37.0,",overall_accuracy, ",76.29729729729729,",step_accuracy, ",76.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",38.0,",overall_accuracy, ",76.23684210526316,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",39.0,",overall_accuracy, ",76.16666666666667,",step_accuracy, ",73.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",40.0,",overall_accuracy, ",76.1875,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",41.0,",overall_accuracy, ",76.29268292682927,",step_accuracy, ",80.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",42.0,",overall_accuracy, ",76.30952380952381,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",43.0,",overall_accuracy, ",76.26744186046511,",step_accuracy, ",74.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",44.0,",overall_accuracy, ",76.27272727272727,",step_accuracy, ",76.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
