"batchId ,",69.0,",overall_accuracy, ",69.06521739130434,",step_accuracy, ",64.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",['MobileNetV2']
"batchId ,",70.0,",overall_accuracy, ",68.96428571428571,",step_accuracy, ",62.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",71.0,",overall_accuracy, ",68.93661971830986,",step_accuracy, ",67.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",72.0,",overall_accuracy, ",68.91666666666667,",step_accuracy, ",67.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",73.0,",overall_accuracy, ",68.7945205479452,",step_accuracy, ",60.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",74.0,",overall_accuracy, ",68.82432432432432,",step_accuracy, ",71.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",75.0,",overall_accuracy, ",68.82000000000001,",step_accuracy, ",68.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",76.0,",overall_accuracy, ",68.74342105263158,",step_accuracy, ",63.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",77.0,",overall_accuracy, ",68.6948051948052,",step_accuracy, ",65.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",78.0,",overall_accuracy, ",68.69871794871794,",step_accuracy, ",69.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",79.0,",overall_accuracy, ",68.67721518987342,",step_accuracy, ",67.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",80.0,",overall_accuracy, ",68.575,",step_accuracy, ",60.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",81.0,",overall_accuracy, ",68.54938271604938,",step_accuracy, ",66.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",82.0,",overall_accuracy, ",68.54268292682927,",step_accuracy, ",68.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",83.0,",overall_accuracy, ",68.5421686746988,",step_accuracy, ",68.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",84.0,",overall_accuracy, ",68.51785714285714,",step_accuracy, ",66.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",85.0,",overall_accuracy, ",68.48823529411764,",step_accuracy, ",66.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",86.0,",overall_accuracy, ",68.51162790697674,",step_accuracy, ",70.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",87.0,",overall_accuracy, ",68.51149425287356,",step_accuracy, ",68.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",88.0,",overall_accuracy, ",68.47727272727273,",step_accuracy, ",65.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",89.0,",overall_accuracy, ",68.42134831460675,",step_accuracy, ",63.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",90.0,",overall_accuracy, ",68.34444444444443,",step_accuracy, ",61.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",91.0,",overall_accuracy, ",68.34615384615384,",step_accuracy, ",68.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",92.0,",overall_accuracy, ",68.31521739130434,",step_accuracy, ",65.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",93.0,",overall_accuracy, ",68.34408602150538,",step_accuracy, ",71.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",94.0,",overall_accuracy, ",68.34042553191489,",step_accuracy, ",68.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",95.0,",overall_accuracy, ",68.28421052631579,",step_accuracy, ",63.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",96.0,",overall_accuracy, ",68.23958333333333,",step_accuracy, ",64.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",97.0,",overall_accuracy, ",68.2319587628866,",step_accuracy, ",67.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",98.0,",overall_accuracy, ",68.23979591836735,",step_accuracy, ",69.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",99.0,",overall_accuracy, ",68.22727272727272,",step_accuracy, ",67.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",100.0,",overall_accuracy, ",68.21000000000001,",step_accuracy, ",66.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",101.0,",overall_accuracy, ",68.23267326732673,",step_accuracy, ",70.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
