"batchId ,",69.0,",overall_accuracy, ",74.91304347826086,",step_accuracy, ",72.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",70.0,",overall_accuracy, ",74.83571428571429,",step_accuracy, ",69.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",71.0,",overall_accuracy, ",74.83802816901408,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",72.0,",overall_accuracy, ",74.82638888888889,",step_accuracy, ",74.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",73.0,",overall_accuracy, ",74.67808219178083,",step_accuracy, ",64.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",74.0,",overall_accuracy, ",74.69594594594594,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",75.0,",overall_accuracy, ",74.74,",step_accuracy, ",78.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",76.0,",overall_accuracy, ",74.71710526315789,",step_accuracy, ",73.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",77.0,",overall_accuracy, ",74.72077922077922,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",78.0,",overall_accuracy, ",74.76923076923076,",step_accuracy, ",78.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",79.0,",overall_accuracy, ",74.76582278481013,",step_accuracy, ",74.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",80.0,",overall_accuracy, ",74.65625,",step_accuracy, ",66.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",81.0,",overall_accuracy, ",74.65432098765432,",step_accuracy, ",74.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",82.0,",overall_accuracy, ",74.64634146341463,",step_accuracy, ",74.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",83.0,",overall_accuracy, ",74.68072289156626,",step_accuracy, ",77.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",84.0,",overall_accuracy, ",74.63095238095238,",step_accuracy, ",70.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",85.0,",overall_accuracy, ",74.64117647058823,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",86.0,",overall_accuracy, ",74.66279069767442,",step_accuracy, ",76.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",87.0,",overall_accuracy, ",74.7183908045977,",step_accuracy, ",79.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",88.0,",overall_accuracy, ",74.64204545454545,",step_accuracy, ",68.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
