"batchId ,",33.0,",overall_accuracy, ",74.4121212121212,",step_accuracy, ",75.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",34.0,",overall_accuracy, ",74.31764705882354,",step_accuracy, ",71.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",35.0,",overall_accuracy, ",74.36,",step_accuracy, ",75.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",36.0,",overall_accuracy, ",74.21666666666667,",step_accuracy, ",69.19999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",37.0,",overall_accuracy, ",74.2,",step_accuracy, ",73.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",38.0,",overall_accuracy, ",74.13684210526316,",step_accuracy, ",71.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",39.0,",overall_accuracy, ",74.1025641025641,",step_accuracy, ",72.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",40.0,",overall_accuracy, ",74.05000000000001,",step_accuracy, ",72.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",41.0,",overall_accuracy, ",74.13170731707316,",step_accuracy, ",77.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f4fb86e2438>]]"
"batchId ,",42.0,",overall_accuracy, ",74.24285714285715,",step_accuracy, ",78.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",5,",","[('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f505c757908>)]"
"batchId ,",43.0,",overall_accuracy, ",74.23255813953489,",step_accuracy, ",73.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",44.0,",overall_accuracy, ",74.26363636363637,",step_accuracy, ",75.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",45.0,",overall_accuracy, ",74.23555555555555,",step_accuracy, ",73.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
"batchId ,",46.0,",overall_accuracy, ",74.25217391304348,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",47.0,",overall_accuracy, ",74.21276595744682,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",48.0,",overall_accuracy, ",74.25416666666666,",step_accuracy, ",76.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",49.0,",overall_accuracy, ",74.31836734693877,",step_accuracy, ",77.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f4fac0cd7f0>]]"
"batchId ,",50.0,",overall_accuracy, ",74.24,",step_accuracy, ",70.39999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",51.0,",overall_accuracy, ",74.14901960784313,",step_accuracy, ",69.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",52.0,",overall_accuracy, ",74.16538461538461,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",53.0,",overall_accuracy, ",74.13207547169812,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",54.0,",overall_accuracy, ",74.1037037037037,",step_accuracy, ",72.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",55.0,",overall_accuracy, ",74.15272727272728,",step_accuracy, ",76.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",56.0,",overall_accuracy, ",74.16785714285714,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",57.0,",overall_accuracy, ",74.12280701754386,",step_accuracy, ",71.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",58.0,",overall_accuracy, ",74.1655172413793,",step_accuracy, ",76.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",59.0,",overall_accuracy, ",74.20677966101695,",step_accuracy, ",76.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",60.0,",overall_accuracy, ",74.19333333333333,",step_accuracy, ",73.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",61.0,",overall_accuracy, ",74.20983606557378,",step_accuracy, ",75.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",62.0,",overall_accuracy, ",74.21935483870968,",step_accuracy, ",74.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",63.0,",overall_accuracy, ",74.24126984126984,",step_accuracy, ",75.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",64.0,",overall_accuracy, ",74.271875,",step_accuracy, ",76.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",65.0,",overall_accuracy, ",74.24307692307693,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",66.0,",overall_accuracy, ",74.24242424242425,",step_accuracy, ",74.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",67.0,",overall_accuracy, ",74.25373134328358,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",68.0,",overall_accuracy, ",74.30882352941175,",step_accuracy, ",78.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f4f841686d8>]]"
