"batchId ,",34.0,",overall_accuracy, ",76.44705882352942,",step_accuracy, ",73.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",35.0,",overall_accuracy, ",76.46285714285715,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",36.0,",overall_accuracy, ",76.36666666666667,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",37.0,",overall_accuracy, ",76.36216216216216,",step_accuracy, ",76.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",38.0,",overall_accuracy, ",76.30526315789473,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",39.0,",overall_accuracy, ",76.23589743589744,",step_accuracy, ",73.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",40.0,",overall_accuracy, ",76.155,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",41.0,",overall_accuracy, ",76.19512195121952,",step_accuracy, ",77.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",42.0,",overall_accuracy, ",76.29523809523809,",step_accuracy, ",80.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3b6afad7f0>]]"
"batchId ,",43.0,",overall_accuracy, ",76.33953488372093,",step_accuracy, ",78.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",44.0,",overall_accuracy, ",76.39545454545454,",step_accuracy, ",78.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",45.0,",overall_accuracy, ",76.33777777777779,",step_accuracy, ",73.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",46.0,",overall_accuracy, ",76.34782608695653,",step_accuracy, ",76.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",47.0,",overall_accuracy, ",76.34042553191489,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",48.0,",overall_accuracy, ",76.375,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",49.0,",overall_accuracy, ",76.44897959183673,",step_accuracy, ",80.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3b6a861978>]]"
"batchId ,",50.0,",overall_accuracy, ",76.384,",step_accuracy, ",73.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",51.0,",overall_accuracy, ",76.31764705882354,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",52.0,",overall_accuracy, ",76.3,",step_accuracy, ",75.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",53.0,",overall_accuracy, ",76.27547169811321,",step_accuracy, ",75.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",54.0,",overall_accuracy, ",76.23333333333333,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",55.0,",overall_accuracy, ",76.25090909090909,",step_accuracy, ",77.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",56.0,",overall_accuracy, ",76.25357142857143,",step_accuracy, ",76.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",57.0,",overall_accuracy, ",76.22456140350877,",step_accuracy, ",74.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",58.0,",overall_accuracy, ",76.23448275862069,",step_accuracy, ",76.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",59.0,",overall_accuracy, ",76.26101694915253,",step_accuracy, ",77.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",60.0,",overall_accuracy, ",76.23666666666666,",step_accuracy, ",74.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",61.0,",overall_accuracy, ",76.22622950819672,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
