"batchId ,",51.0,",overall_accuracy, ",74.56470588235294,",step_accuracy, ",71.39999999999999,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",52.0,",overall_accuracy, ",74.57692307692308,",step_accuracy, ",75.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",53.0,",overall_accuracy, ",74.55471698113207,",step_accuracy, ",73.4,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",54.0,",overall_accuracy, ",74.54444444444445,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",55.0,",overall_accuracy, ",74.6,",step_accuracy, ",77.60000000000001,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1})",",",4,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8d378710>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8da23588>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8fae1e10>]]]"
"batchId ,",56.0,",overall_accuracy, ",74.60357142857143,",step_accuracy, ",74.8,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1})",",",4,",",None
"batchId ,",57.0,",overall_accuracy, ",74.52631578947368,",step_accuracy, ",70.19999999999999,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",58.0,",overall_accuracy, ",74.5551724137931,",step_accuracy, ",76.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",59.0,",overall_accuracy, ",74.57288135593221,",step_accuracy, ",75.6,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",60.0,",overall_accuracy, ",74.54333333333332,",step_accuracy, ",72.8,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
