"batchId ,",28.0,",overall_accuracy, ",76.65714285714286,",step_accuracy, ",74.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",29.0,",overall_accuracy, ",76.6,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",30.0,",overall_accuracy, ",76.56666666666668,",step_accuracy, ",75.6,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",31.0,",overall_accuracy, ",76.51612903225806,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",32.0,",overall_accuracy, ",76.3875,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",33.0,",overall_accuracy, ",76.43636363636364,",step_accuracy, ",78.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",34.0,",overall_accuracy, ",76.35882352941177,",step_accuracy, ",73.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",35.0,",overall_accuracy, ",76.37714285714286,",step_accuracy, ",77.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",36.0,",overall_accuracy, ",76.26111111111112,",step_accuracy, ",72.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",37.0,",overall_accuracy, ",76.27567567567569,",step_accuracy, ",76.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",38.0,",overall_accuracy, ",76.22631578947369,",step_accuracy, ",74.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",39.0,",overall_accuracy, ",76.15384615384615,",step_accuracy, ",73.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",40.0,",overall_accuracy, ",76.07000000000001,",step_accuracy, ",72.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",41.0,",overall_accuracy, ",76.10731707317073,",step_accuracy, ",77.60000000000001,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",42.0,",overall_accuracy, ",76.2,",step_accuracy, ",80.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",43.0,",overall_accuracy, ",76.24651162790698,",step_accuracy, ",78.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",44.0,",overall_accuracy, ",76.3,",step_accuracy, ",78.60000000000001,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",45.0,",overall_accuracy, ",76.23111111111112,",step_accuracy, ",73.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",46.0,",overall_accuracy, ",76.25652173913043,",step_accuracy, ",77.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",47.0,",overall_accuracy, ",76.25106382978724,",step_accuracy, ",76.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",48.0,",overall_accuracy, ",76.29166666666667,",step_accuracy, ",78.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",49.0,",overall_accuracy, ",76.34693877551021,",step_accuracy, ",79.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",50.0,",overall_accuracy, ",76.27199999999999,",step_accuracy, ",72.6,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",51.0,",overall_accuracy, ",76.2156862745098,",step_accuracy, ",73.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",52.0,",overall_accuracy, ",76.1923076923077,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",53.0,",overall_accuracy, ",76.16981132075472,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",54.0,",overall_accuracy, ",76.12962962962962,",step_accuracy, ",74.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",55.0,",overall_accuracy, ",76.15636363636364,",step_accuracy, ",77.60000000000001,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",56.0,",overall_accuracy, ",76.16071428571428,",step_accuracy, ",76.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",57.0,",overall_accuracy, ",76.13333333333333,",step_accuracy, ",74.6,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",58.0,",overall_accuracy, ",76.13793103448275,",step_accuracy, ",76.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",59.0,",overall_accuracy, ",76.16271186440679,",step_accuracy, ",77.60000000000001,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",60.0,",overall_accuracy, ",76.14999999999999,",step_accuracy, ",75.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",61.0,",overall_accuracy, ",76.14754098360656,",step_accuracy, ",76.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
