"batchId ,",62.0,",overall_accuracy, ",73.89400921658986,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",63.0,",overall_accuracy, ",73.8548752834467,",step_accuracy, ",71.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",64.0,",overall_accuracy, ",73.83928571428572,",step_accuracy, ",72.85714285714285,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",65.0,",overall_accuracy, ",73.77582417582418,",step_accuracy, ",69.71428571428572,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",66.0,",overall_accuracy, ",73.83982683982684,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe71147b1d0>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe720c84828>]]]"
"batchId ,",67.0,",overall_accuracy, ",73.81236673773988,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",68.0,",overall_accuracy, ",73.7983193277311,",step_accuracy, ",72.85714285714285,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",69.0,",overall_accuracy, ",73.83850931677019,",step_accuracy, ",76.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe7104c2b38>]]]"
"batchId ,",70.0,",overall_accuracy, ",73.84897959183674,",step_accuracy, ",74.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",",None
"batchId ,",71.0,",overall_accuracy, ",73.79476861167002,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",72.0,",overall_accuracy, ",73.75,",step_accuracy, ",70.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",73.0,",overall_accuracy, ",73.68297455968688,",step_accuracy, ",68.85714285714286,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",74.0,",overall_accuracy, ",73.68339768339769,",step_accuracy, ",73.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",None
