"batchId ,",33.0,",overall_accuracy, ",75.84242424242424,",step_accuracy, ",76.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",34.0,",overall_accuracy, ",75.79411764705883,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",35.0,",overall_accuracy, ",75.80571428571429,",step_accuracy, ",76.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",36.0,",overall_accuracy, ",75.70555555555556,",step_accuracy, ",72.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",37.0,",overall_accuracy, ",75.75135135135135,",step_accuracy, ",77.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",38.0,",overall_accuracy, ",75.71578947368421,",step_accuracy, ",74.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",39.0,",overall_accuracy, ",75.65641025641025,",step_accuracy, ",73.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",40.0,",overall_accuracy, ",75.61,",step_accuracy, ",73.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",['InceptionV3']
"batchId ,",41.0,",overall_accuracy, ",75.66341463414633,",step_accuracy, ",77.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",42.0,",overall_accuracy, ",75.77619047619048,",step_accuracy, ",80.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb950691320>]], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb9511246d8>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb926f11d68>]]]"
"batchId ,",43.0,",overall_accuracy, ",75.82790697674419,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb951705f98>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb950d663c8>]]]"
"batchId ,",44.0,",overall_accuracy, ",75.82727272727273,",step_accuracy, ",75.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",45.0,",overall_accuracy, ",75.77333333333334,",step_accuracy, ",73.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",46.0,",overall_accuracy, ",75.73913043478261,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",47.0,",overall_accuracy, ",75.72340425531915,",step_accuracy, ",75.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",48.0,",overall_accuracy, ",75.7875,",step_accuracy, ",78.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb925ff2278>]]]"
"batchId ,",49.0,",overall_accuracy, ",75.81224489795918,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",50.0,",overall_accuracy, ",75.76,",step_accuracy, ",73.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",51.0,",overall_accuracy, ",75.70588235294117,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
