"batchId ,",31.0,",overall_accuracy, ",74.28571428571429,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",32.0,",overall_accuracy, ",74.40476190476191,",step_accuracy, ",78.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",6,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f14246f1dd8>]]"
"batchId ,",33.0,",overall_accuracy, ",74.35786435786436,",step_accuracy, ",72.85714285714285,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",34.0,",overall_accuracy, ",74.29971988795518,",step_accuracy, ",72.38095238095238,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",35.0,",overall_accuracy, ",74.20408163265306,",step_accuracy, ",70.95238095238095,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",36.0,",overall_accuracy, ",74.07407407407408,",step_accuracy, ",69.52380952380952,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",37.0,",overall_accuracy, ",74.07979407979408,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",38.0,",overall_accuracy, ",74.11027568922306,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",39.0,",overall_accuracy, ",74.21245421245422,",step_accuracy, ",78.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1408cad080>]]"
"batchId ,",40.0,",overall_accuracy, ",74.19047619047619,",step_accuracy, ",73.33333333333333,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",41.0,",overall_accuracy, ",74.13472706155633,",step_accuracy, ",71.9047619047619,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",42.0,",overall_accuracy, ",74.18367346938776,",step_accuracy, ",76.19047619047619,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",43.0,",overall_accuracy, ",74.27464008859359,",step_accuracy, ",78.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",6,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f140858b320>]]"
"batchId ,",44.0,",overall_accuracy, ",74.2965367965368,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",45.0,",overall_accuracy, ",74.43386243386243,",step_accuracy, ",80.47619047619048,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1528730eb8>)]"
"batchId ,",46.0,",overall_accuracy, ",74.43064182194618,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",",None
"batchId ,",47.0,",overall_accuracy, ",74.4579533941236,",step_accuracy, ",75.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",",None
"batchId ,",48.0,",overall_accuracy, ",74.49404761904762,",step_accuracy, ",76.19047619047619,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",",None
"batchId ,",49.0,",overall_accuracy, ",74.57725947521865,",step_accuracy, ",78.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",4,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f13fbe62240>]]"
"batchId ,",50.0,",overall_accuracy, ",74.44761904761906,",step_accuracy, ",68.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",51.0,",overall_accuracy, ",74.40709617180205,",step_accuracy, ",72.38095238095238,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",52.0,",overall_accuracy, ",74.41391941391942,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",53.0,",overall_accuracy, ",74.51033243486074,",step_accuracy, ",79.52380952380952,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50V2': 1})",",",5,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f142c583080>]]"
"batchId ,",54.0,",overall_accuracy, ",74.48853615520282,",step_accuracy, ",73.33333333333333,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50V2': 1})",",",5,",",None
"batchId ,",55.0,",overall_accuracy, ",74.48484848484848,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50V2': 1})",",",5,",",None
"batchId ,",56.0,",overall_accuracy, ",74.43027210884354,",step_accuracy, ",71.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
