"batchId ,",67.0,",overall_accuracy, ",76.08955223880596,",step_accuracy, ",80.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",68.0,",overall_accuracy, ",76.11029411764706,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",69.0,",overall_accuracy, ",76.06521739130436,",step_accuracy, ",73.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",70.0,",overall_accuracy, ",76.05714285714285,",step_accuracy, ",75.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",71.0,",overall_accuracy, ",76.05633802816901,",step_accuracy, ",76.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",72.0,",overall_accuracy, ",76.02083333333334,",step_accuracy, ",73.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",73.0,",overall_accuracy, ",75.88356164383562,",step_accuracy, ",66.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",74.0,",overall_accuracy, ",75.9054054054054,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",75.0,",overall_accuracy, ",75.94666666666666,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",76.0,",overall_accuracy, ",75.92763157894737,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",77.0,",overall_accuracy, ",75.91558441558442,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",78.0,",overall_accuracy, ",75.97435897435898,",step_accuracy, ",80.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
