"batchId ,",55.0,",overall_accuracy, ",74.22727272727273,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",56.0,",overall_accuracy, ",74.29464285714286,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",5,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec2f62e438>]]"
"batchId ,",57.0,",overall_accuracy, ",74.21929824561404,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",['ResNet50']
"batchId ,",58.0,",overall_accuracy, ",74.1896551724138,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",59.0,",overall_accuracy, ",74.17796610169492,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",60.0,",overall_accuracy, ",74.225,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec2fd46128>]]"
"batchId ,",61.0,",overall_accuracy, ",74.25409836065575,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",",None
"batchId ,",62.0,",overall_accuracy, ",74.17741935483872,",step_accuracy, ",69.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",63.0,",overall_accuracy, ",74.11111111111111,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",64.0,",overall_accuracy, ",74.109375,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",65.0,",overall_accuracy, ",74.18461538461538,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",5,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec2ee8e748>]]"
"batchId ,",66.0,",overall_accuracy, ",74.26515151515152,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",4,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec44ff0ef0>]]"
