"batchId ,",32.0,",overall_accuracy, ",75.515625,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",33.0,",overall_accuracy, ",75.53030303030303,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",34.0,",overall_accuracy, ",75.52941176470588,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",35.0,",overall_accuracy, ",75.52857142857144,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",36.0,",overall_accuracy, ",75.45833333333334,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",37.0,",overall_accuracy, ",75.5135135135135,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",38.0,",overall_accuracy, ",75.51315789473684,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",39.0,",overall_accuracy, ",75.48717948717949,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",40.0,",overall_accuracy, ",75.52499999999999,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",41.0,",overall_accuracy, ",75.6219512195122,",step_accuracy, ",79.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88805d8ac8>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887ff02d30>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8880f86d30>]]]"
"batchId ,",42.0,",overall_accuracy, ",75.63095238095238,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",",None
"batchId ,",43.0,",overall_accuracy, ",75.61627906976744,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",",None
"batchId ,",44.0,",overall_accuracy, ",75.63636363636364,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",",None
