Latency,Policy
535.7089157,Clipper
596.757185,Clipper
344.6307182,Clipper
140.4426098,Clipper
142.4050331,Clipper
909.8026867,Clipper
321.2068081,Clipper
373.7690449,Clipper
375.5016327,Clipper
192.4750805,Clipper
125.1404285,Clipper
780.0116653,Clipper
534.0421314,Clipper
594.4812412,Clipper
346.8108177,Clipper
194.6833134,Clipper
127.0153522,Clipper
780.0996418,Clipper
321.8650818,Clipper
377.2771358,Clipper
637.2659321,Clipper
207.8518867,Clipper
212.6533985,Clipper
903.3725376,Clipper
534.3763943,Clipper
603.669178,Clipper
348.7591743,Clipper
229.8336029,Clipper
300.01688,Clipper
775.9685631,Clipper
324.3508339,Clipper
771.099102,Clipper
777.1296616,Clipper
139.7387981,Clipper
144.6385384,Clipper
904.7298546,Clipper
534.02425,Clipper
359.9598408,Clipper
360.9099388,Clipper
194.7317123,Clipper
125.4255772,Clipper
777.3769016,Clipper
323.2984543,Clipper
646.870863,Clipper
648.7517471,Clipper
211.6658688,Clipper
218.0042267,Clipper
907.1979637,Clipper
532.2725887,Clipper
347.0318317,Clipper
596.1444492,Clipper
185.8906746,Clipper
189.1715527,Clipper
786.8323441,Clipper
324.7599602,Clipper
344.1491127,Clipper
591.6271324,Clipper
192.7330494,Clipper
125.8170605,Clipper
933.655035,Clipper
552.005064,Clipper
339.7631645,Clipper
195.7118511,Clipper
125.3323555,Clipper
785.5596657,Clipper
324.8829842,Clipper
346.7285633,Clipper
597.4755402,Clipper
206.3417435,Clipper
216.3267136,Clipper
777.5273438,Clipper
553.0121441,Clipper
368.9632416,Clipper
627.2294636,Clipper
126.4772415,Clipper
190.0136471,Clipper
975.4688854,Clipper
332.2811127,Clipper
536.5197773,Clipper
706.3863392,Clipper
193.8664913,Clipper
124.5422363,Clipper
808.6869831,Clipper
568.9826126,Clipper
346.7452526,Clipper
613.2152195,Clipper
194.1325665,Clipper
124.891758,Clipper
805.0890083,Clipper
334.2523575,Clipper
593.3737869,Clipper
346.1415768,Clipper
194.1010952,Clipper
125.2501011,Clipper
972.8736992,Clipper
576.5175934,Clipper
575.0300999,Clipper
728.6946888,Clipper
192.7406788,Clipper
125.1256466,Clipper
775.6526585,Clipper
318.0088997,Clipper
348.0021954,Clipper
596.8809242,Clipper
210.2994919,Clipper
215.3172493,Clipper
946.9704742,Clipper
564.1291256,Clipper
385.9393597,Clipper
392.6570415,Clipper
134.3438625,Clipper
202.9230595,Clipper
764.2028446,Clipper
306.3662052,Clipper
347.8996754,Clipper
598.9840145,Clipper
229.0406227,Clipper
230.373621,Clipper
912.7342815,Clipper
540.5135269,Clipper
577.2752876,Clipper
734.8802204,Clipper
198.9886761,Clipper
205.9223652,Clipper
754.711401,Clipper
309.8552227,Clipper
597.6684208,Clipper
347.1448421,Clipper
140.2795315,Clipper
143.6104774,Clipper
751.3854618,Clipper
539.4828434,Clipper
535.9864349,Clipper
711.1444588,Clipper
133.8536739,Clipper
202.7833462,Clipper
910.4790802,Clipper
300.0948429,Clipper
598.1330986,Clipper
346.7381001,Clipper
138.5886669,Clipper
214.2527103,Clipper
735.2953072,Clipper
512.1750946,Clipper
346.3218212,Clipper
598.5150452,Clipper
191.0588741,Clipper
124.1028309,Clipper
884.0298767,Clipper
301.8715382,Clipper
606.7755337,Clipper
350.7976532,Clipper
321.6516972,Clipper
323.2781887,Clipper
745.4323883,Clipper
519.31287,Clipper
347.6703167,Clipper
347.0656872,Clipper
197.5960732,Clipper
123.8868237,Clipper
739.903223,Clipper
299.5533943,Clipper
620.259058,Clipper
628.1612034,Clipper
133.7823868,Clipper
215.3961658,Clipper
861.6607304,Clipper
299.9610901,Clipper
578.0344124,Clipper
593.2705517,Clipper
126.1434555,Clipper
190.9294128,Clipper
735.1398582,Clipper
512.4752636,Clipper
619.3797703,Clipper
627.8784389,Clipper
133.7091923,Clipper
217.2746658,Clipper
873.9020939,Clipper
512.2759457,Clipper
550.9686584,Clipper
689.3849487,Clipper
197.4775791,Clipper
124.6552467,Clipper
744.8322887,Clipper
301.1884689,Clipper
621.3278885,Clipper
621.9554062,Clipper
211.889267,Clipper
211.7035389,Clipper
745.4979534,Clipper
533.7362404,Clipper
596.1048717,Clipper
342.8816795,Clipper
193.087101,Clipper
124.6328354,Clipper
896.5618725,Clipper
302.4988174,Clipper
560.9171505,Clipper
698.7116451,Clipper
137.2699738,Clipper
202.1372318,Clipper
748.3942623,Clipper
525.4087563,Clipper
744.9860687,Clipper
747.8168125,Clipper
134.7763538,Clipper
138.3600235,Clipper
895.0073833,Clipper
300.7371426,Clipper
591.9363613,Clipper
594.9936028,Clipper
392.5390891,Baseline
1222.325,Baseline
1222.446719,Baseline
705.2001387,Baseline
803.6836535,Baseline
815.5972868,Baseline
189.3848658,Baseline
188.5960579,Baseline
1018.829218,Baseline
701.1001974,Baseline
473.5742092,Baseline
484.0803862,Baseline
300.6356001,Baseline
304.6307802,Baseline
1183.549038,Baseline
421.9310045,Baseline
778.0531317,Baseline
785.4679256,Baseline
254.6804905,Baseline
167.4185038,Baseline
1021.3128,Baseline
422.5567818,Baseline
762.4945551,Baseline
453.0369997,Baseline
259.6829891,Baseline
165.4934406,Baseline
1022.151819,Baseline
698.9234596,Baseline
448.4727621,Baseline
773.9302546,Baseline
269.0054893,Baseline
269.7447062,Baseline
1188.393775,Baseline
425.3000975,Baseline
447.6749659,Baseline
767.7967697,Baseline
167.4910307,Baseline
251.7803431,Baseline
1016.876569,Baseline
697.6824432,Baseline
763.9454037,Baseline
771.674791,Baseline
167.4240828,Baseline
250.1410484,Baseline
1226.639023,Baseline
